Time (s/500) - 0,0005	Newton - 0,0005	Time (s/500) - 0,005	Newton - 0,005	Time (s/500) - 0,05	Newton - 0,05	Time (s/500) - 0,5	Newton - 0,5	Time (s/500) - Plot 4	Newton - Plot 4	Time (s/500) - Plot 5	Newton - Plot 5	Time (s/500) - Plot 6	Newton - Plot 6	Time (s/500) - Plot 7	Newton - Plot 7	Time (s/500) - Plot 8	Newton - Plot 8	Time (s/500) - Plot 9	Newton - Plot 9	Time (s/500) - Plot 10	Newton - Plot 10	Time (s/500) - Plot 11	Newton - Plot 11	Time (s/500) - Plot 12	Newton - Plot 12	Time (s/500) - Plot 13	Newton - Plot 13	
996	0,113541	996	-0,031485	996	0,0681183	996	0,0393558	996	0,448193	996	0,159025	996	0,163539	996	-0,0970164	996	-0,156004	996	0,0598761	996	-0,0750347	996	-0,255214	996	-0,039821	996	0,00746673	
997	0,116442	997	-0,0289041	997	0,0736966	997	0,0434857	997	0,445095	997	0,161261	997	0,168863	997	-0,0985186	997	-0,157022	997	0,0576254	997	-0,0748428	997	-0,257596	997	-0,0436852	997	0,0093252	
998	0,118716	998	-0,0296338	998	0,0761624	998	0,0445344	998	0,447017	998	0,164451	998	0,174209	998	-0,104066	998	-0,156682	998	0,0527876	998	-0,0714117	998	-0,255665	998	-0,0433706	998	0,0127535	
999	0,121846	999	-0,0281727	999	0,0806095	999	0,0491553	999	0,44725	999	0,166679	999	0,177911	999	-0,105791	999	-0,15439	999	0,0519991	999	-0,0728194	999	-0,250346	999	-0,0423743	999	0,0171038	
1000	0,121536	1000	-0,0315653	1000	0,0891149	1000	0,0492811	1000	0,444376	1000	0,171051	1000	0,181713	1000	-0,111139	1000	-0,14979	1000	0,0484805	1000	-0,0707943	1000	-0,247158	1000	-0,0444584	1000	0,0164207	
1001	0,123617	1001	-0,0354625	1001	0,0907584	1001	0,0508805	1001	0,442208	1001	0,169822	1001	0,180926	1001	-0,113281	1001	-0,147796	1001	0,0400388	1001	-0,0691694	1001	-0,244871	1001	-0,0481358	1001	0,0161779	
1002	0,129856	1002	-0,038848	1002	0,0928063	1002	0,0562071	1002	0,439935	1002	0,175911	1002	0,181107	1002	-0,118357	1002	-0,144437	1002	0,0330437	1002	-0,0651303	1002	-0,242208	1002	-0,054951	1002	0,0176158	
1003	0,126294	1003	-0,0428494	1003	0,0946819	1003	0,0603611	1003	0,433844	1003	0,177734	1003	0,18311	1003	-0,118436	1003	-0,140987	1003	0,0271307	1003	-0,0597462	1003	-0,239172	1003	-0,0547606	1003	0,0196758	
1004	0,118592	1004	-0,0493499	1004	0,100544	1004	0,0591714	1004	0,433439	1004	0,180605	1004	0,188498	1004	-0,122971	1004	-0,14139	1004	0,019562	1004	-0,0539489	1004	-0,237076	1004	-0,0543027	1004	0,0233741	
1005	0,110799	1005	-0,0563796	1005	0,102197	1005	0,0628649	1005	0,430368	1005	0,17832	1005	0,194636	1005	-0,124969	1005	-0,142759	1005	0,0184759	1005	-0,049657	1005	-0,232673	1005	-0,0547923	1005	0,024257	
1006	0,106276	1006	-0,062411	1006	0,10163	1006	0,0657068	1006	0,425263	1006	0,180059	1006	0,196496	1006	-0,125566	1006	-0,13842	1006	0,0111426	1006	-0,0532812	1006	-0,228523	1006	-0,0605054	1006	0,0266889	
1007	0,103906	1007	-0,0682908	1007	0,102968	1007	0,0677227	1007	0,421305	1007	0,181003	1007	0,199705	1007	-0,124454	1007	-0,138805	1007	0,00994727	1007	-0,0527519	1007	-0,224259	1007	-0,0621518	1007	0,0286919	
1008	0,101342	1008	-0,0669715	1008	0,105327	1008	0,0692426	1008	0,42091	1008	0,183328	1008	0,206062	1008	-0,124441	1008	-0,13986	1008	0,00262374	1008	-0,0477683	1008	-0,221447	1008	-0,0633719	1008	0,0268967	
1009	0,0996956	1009	-0,066209	1009	0,106659	1009	0,0767722	1009	0,416361	1009	0,183853	1009	0,211826	1009	-0,126071	1009	-0,141671	1009	0,000965864	1009	-0,0450339	1009	-0,21859	1009	-0,067358	1009	0,0338424	
1010	0,0955149	1010	-0,0683409	1010	0,112844	1010	0,0777588	1010	0,408393	1010	0,182931	1010	0,21453	1010	-0,131151	1010	-0,138298	1010	0,00169489	1010	-0,0466173	1010	-0,218725	1010	-0,0716845	1010	0,0346054	
1011	0,0935588	1011	-0,0726667	1011	0,115052	1011	0,083274	1011	0,40048	1011	0,18524	1011	0,218194	1011	-0,138085	1011	-0,136406	1011	-0,00262236	1011	-0,051002	1011	-0,221789	1011	-0,0754945	1011	0,0359849	
1012	0,0910594	1012	-0,0758455	1012	0,118352	1012	0,0829818	1012	0,391012	1012	0,190632	1012	0,218623	1012	-0,141718	1012	-0,134296	1012	-0,00244138	1012	-0,0522287	1012	-0,219213	1012	-0,0821105	1012	0,0405135	
1013	0,0876782	1013	-0,0801242	1013	0,12595	1013	0,080957	1013	0,389317	1013	0,190962	1013	0,219614	1013	-0,145257	1013	-0,138302	1013	-0,00269476	1013	-0,0500819	1013	-0,209125	1013	-0,0886521	1013	0,0431943	
1014	0,0833039	1014	-0,0815398	1014	0,129954	1014	0,081974	1014	0,388832	1014	0,196206	1014	0,225362	1014	-0,142852	1014	-0,140057	1014	-0,00402874	1014	-0,052482	1014	-0,207679	1014	-0,0931521	1014	0,0470955	
1015	0,0789473	1015	-0,084889	1015	0,137936	1015	0,0884637	1015	0,386636	1015	0,2	1015	0,227351	1015	-0,143386	1015	-0,141568	1015	-0,00299071	1015	-0,058335	1015	-0,206736	1015	-0,0966665	1015	0,0524229	
1016	0,0796052	1016	-0,0866762	1016	0,142807	1016	0,0925877	1016	0,384434	1016	0,195327	1016	0,227255	1016	-0,142483	1016	-0,140705	1016	-0,00573218	1016	-0,0625501	1016	-0,198371	1016	-0,0993368	1016	0,0561679	
1017	0,0773269	1017	-0,088063	1017	0,148376	1017	0,091263	1017	0,381083	1017	0,195872	1017	0,229052	1017	-0,142484	1017	-0,145474	1017	-0,00617715	1017	-0,0636897	1017	-0,195836	1017	-0,100703	1017	0,0573358	
1018	0,0737932	1018	-0,0952557	1018	0,149996	1018	0,0951505	1018	0,379297	1018	0,200202	1018	0,231248	1018	-0,145896	1018	-0,146278	1018	-0,00371427	1018	-0,0674546	1018	-0,198026	1018	-0,0998771	1018	0,060622	
1019	0,0709195	1019	-0,0991405	1019	0,155552	1019	0,101431	1019	0,376865	1019	0,204412	1019	0,234604	1019	-0,146266	1019	-0,145722	1019	-0,00389055	1019	-0,0716077	1019	-0,194478	1019	-0,106259	1019	0,0609628	
1020	0,0704817	1020	-0,103779	1020	0,153755	1020	0,107324	1020	0,377543	1020	0,202821	1020	0,237417	1020	-0,15868	1020	-0,144847	1020	-0,00723389	1020	-0,0748143	1020	-0,194005	1020	-0,101843	1020	0,0608219	
1021	0,0673373	1021	-0,10435	1021	0,153791	1021	0,111306	1021	0,378374	1021	0,204687	1021	0,235333	1021	-0,164145	1021	-0,140556	1021	-0,00680317	1021	-0,0789608	1021	-0,193479	1021	-0,0968	1021	0,0589112	
1022	0,0622752	1022	-0,1072	1022	0,155349	1022	0,112002	1022	0,378443	1022	0,206171	1022	0,240876	1022	-0,17219	1022	-0,142468	1022	-0,0111643	1022	-0,0836616	1022	-0,192599	1022	-0,0935556	1022	0,0604758	
1023	0,0578899	1023	-0,106422	1023	0,151129	1023	0,114489	1023	0,377376	1023	0,203454	1023	0,244741	1023	-0,175945	1023	-0,138099	1023	-0,0197052	1023	-0,0880839	1023	-0,193465	1023	-0,0884479	1023	0,0567987	
1024	0,0602959	1024	-0,108046	1024	0,14564	1024	0,118402	1024	0,381403	1024	0,204275	1024	0,24749	1024	-0,180527	1024	-0,136734	1024	-0,0202412	1024	-0,0911888	1024	-0,195109	1024	-0,0948536	1024	0,0530642	
1025	0,0594599	1025	-0,108409	1025	0,143392	1025	0,123081	1025	0,383549	1025	0,202068	1025	0,24236	1025	-0,185596	1025	-0,13911	1025	-0,0238263	1025	-0,0929347	1025	-0,201016	1025	-0,0994664	1025	0,0530344	
1026	0,0584218	1026	-0,108786	1026	0,141493	1026	0,120212	1026	0,389183	1026	0,197836	1026	0,243466	1026	-0,185369	1026	-0,134702	1026	-0,0275816	1026	-0,0910429	1026	-0,204287	1026	-0,0984875	1026	0,0526091	
1027	0,0576435	1027	-0,112969	1027	0,13491	1027	0,117525	1027	0,391731	1027	0,195037	1027	0,240843	1027	-0,186552	1027	-0,130752	1027	-0,0314162	1027	-0,0879653	1027	-0,20706	1027	-0,09792	1027	0,0509328	
1028	0,0613468	1028	-0,114225	1028	0,130958	1028	0,120464	1028	0,395512	1028	0,193997	1028	0,246539	1028	-0,189186	1028	-0,132377	1028	-0,0350462	1028	-0,0869762	1028	-0,209072	1028	-0,101343	1028	0,0518148	
1029	0,0641277	1029	-0,116025	1029	0,128066	1029	0,120302	1029	0,399958	1029	0,192686	1029	0,253384	1029	-0,194994	1029	-0,131733	1029	-0,040341	1029	-0,0870732	1029	-0,20891	1029	-0,100343	1029	0,0525374	
1030	0,0668809	1030	-0,113298	1030	0,127413	1030	0,119315	1030	0,399652	1030	0,189273	1030	0,251964	1030	-0,197738	1030	-0,13139	1030	-0,0433281	1030	-0,0844402	1030	-0,211187	1030	-0,102581	1030	0,0540893	
1031	0,0703654	1031	-0,114485	1031	0,12788	1031	0,118992	1031	0,400194	1031	0,185644	1031	0,250679	1031	-0,201121	1031	-0,128048	1031	-0,0488684	1031	-0,0844881	1031	-0,207355	1031	-0,102113	1031	0,0517919	
1032	0,06401	1032	-0,113402	1032	0,124143	1032	0,116579	1032	0,398233	1032	0,182551	1032	0,2513	1032	-0,202067	1032	-0,126644	1032	-0,0485801	1032	-0,08497	1032	-0,204938	1032	-0,105163	1032	0,0509929	
1033	0,0653658	1033	-0,114961	1033	0,117872	1033	0,112435	1033	0,39591	1033	0,182659	1033	0,255417	1033	-0,202813	1033	-0,127052	1033	-0,0467764	1033	-0,0885435	1033	-0,199821	1033	-0,101507	1033	0,0553948	
1034	0,0602747	1034	-0,114699	1034	0,117615	1034	0,11074	1034	0,394515	1034	0,183008	1034	0,253444	1034	-0,201202	1034	-0,127906	1034	-0,047012	1034	-0,0880758	1034	-0,200603	1034	-0,098917	1034	0,0610558	
1035	0,0569924	1035	-0,11367	1035	0,112195	1035	0,113423	1035	0,391795	1035	0,179844	1035	0,252679	1035	-0,204174	1035	-0,129223	1035	-0,0477385	1035	-0,0869691	1035	-0,200595	1035	-0,0984744	1035	0,0572952	
1036	0,0566226	1036	-0,117863	1036	0,108084	1036	0,112713	1036	0,39289	1036	0,178174	1036	0,252721	1036	-0,20883	1036	-0,129482	1036	-0,0517616	1036	-0,0892649	1036	-0,20057	1036	-0,0957839	1036	0,0640513	
1037	0,0517866	1037	-0,119071	1037	0,107244	1037	0,107696	1037	0,39374	1037	0,178799	1037	0,252151	1037	-0,207976	1037	-0,133647	1037	-0,056932	1037	-0,093416	1037	-0,199601	1037	-0,0904628	1037	0,0636727	
1038	0,0491936	1038	-0,116602	1038	0,103037	1038	0,108865	1038	0,396824	1038	0,179179	1038	0,250538	1038	-0,212159	1038	-0,134613	1038	-0,0591377	1038	-0,0968973	1038	-0,196477	1038	-0,0895407	1038	0,0648989	
1039	0,0481442	1039	-0,116314	1039	0,10467	1039	0,113547	1039	0,397395	1039	0,177014	1039	0,253174	1039	-0,214029	1039	-0,137209	1039	-0,0601281	1039	-0,100512	1039	-0,1975	1039	-0,0870773	1039	0,0642722	
1040	0,0449679	1040	-0,117322	1040	0,102551	1040	0,117622	1040	0,399904	1040	0,176808	1040	0,254064	1040	-0,217282	1040	-0,136777	1040	-0,0613167	1040	-0,0991055	1040	-0,200406	1040	-0,08463	1040	0,0611447	
1041	0,0415318	1041	-0,117685	1041	0,100314	1041	0,120956	1041	0,399001	1041	0,179006	1041	0,255496	1041	-0,21675	1041	-0,138304	1041	-0,0623203	1041	-0,103316	1041	-0,205354	1041	-0,0842215	1041	0,0615933	
1042	0,041294	1042	-0,115736	1042	0,100083	1042	0,121234	1042	0,396163	1042	0,182668	1042	0,25708	1042	-0,214175	1042	-0,140126	1042	-0,0592005	1042	-0,108205	1042	-0,210063	1042	-0,0806264	1042	0,0639126	
1043	0,0392659	1043	-0,113636	1043	0,100257	1043	0,115385	1043	0,393509	1043	0,179636	1043	0,256192	1043	-0,210039	1043	-0,14154	1043	-0,0622143	1043	-0,111	1043	-0,214002	1043	-0,0779687	1043	0,06106	
1044	0,0389648	1044	-0,112651	1044	0,102619	1044	0,112874	1044	0,392666	1044	0,178727	1044	0,25736	1044	-0,206875	1044	-0,145516	1044	-0,0596508	1044	-0,112221	1044	-0,221495	1044	-0,079783	1044	0,062529	
1045	0,0390849	1045	-0,106515	1045	0,101474	1045	0,118518	1045	0,388405	1045	0,177245	1045	0,251669	1045	-0,202171	1045	-0,148368	1045	-0,0582147	1045	-0,115885	1045	-0,228185	1045	-0,0806076	1045	0,058105	
1046	0,0411496	1046	-0,102415	1046	0,101462	1046	0,120246	1046	0,386548	1046	0,177277	1046	0,245608	1046	-0,199837	1046	-0,146311	1046	-0,0608282	1046	-0,118976	1046	-0,227611	1046	-0,0747259	1046	0,0550343	
1047	0,0423099	1047	-0,100096	1047	0,10628	1047	0,126464	1047	0,38429	1047	0,174724	1047	0,240837	1047	-0,199962	1047	-0,151444	1047	-0,0564481	1047	-0,113257	1047	-0,231639	1047	-0,0720712	1047	0,0520983	
1048	0,0441668	1048	-0,0997208	1048	0,106822	1048	0,133762	1048	0,38124	1048	0,176617	1048	0,235753	1048	-0,199862	1048	-0,148541	1048	-0,0591774	1048	-0,112413	1048	-0,238109	1048	-0,0709749	1048	0,0510573	
1049	0,0435992	1049	-0,0966851	1049	0,105338	1049	0,139149	1049	0,376476	1049	0,172185	1049	0,229883	1049	-0,199848	1049	-0,14842	1049	-0,0584092	1049	-0,113367	1049	-0,239991	1049	-0,0727966	1049	0,0502968	
1050	0,0421668	1050	-0,0962402	1050	0,104577	1050	0,142968	1050	0,374612	1050	0,171003	1050	0,225299	1050	-0,196134	1050	-0,148028	1050	-0,0621405	1050	-0,111187	1050	-0,24285	1050	-0,0710296	1050	0,048339	
1051	0,0433979	1051	-0,093402	1051	0,102732	1051	0,147924	1051	0,370506	1051	0,169944	1051	0,222573	1051	-0,196735	1051	-0,149158	1051	-0,0621116	1051	-0,102471	1051	-0,2404	1051	-0,0653059	1051	0,0458687	
1052	0,0474418	1052	-0,087891	1052	0,105122	1052	0,148523	1052	0,372204	1052	0,168524	1052	0,219208	1052	-0,193116	1052	-0,148587	1052	-0,0650437	1052	-0,100253	1052	-0,242122	1052	-0,0596701	1052	0,0479988	
1053	0,0500982	1053	-0,0821145	1053	0,102757	1053	0,149812	1053	0,375294	1053	0,162465	1053	0,215872	1053	-0,190879	1053	-0,147794	1053	-0,070445	1053	-0,0965502	1053	-0,243838	1053	-0,0550709	1053	0,0452275	
1054	0,0522211	1054	-0,0771605	1054	0,0972835	1054	0,158188	1054	0,375013	1054	0,162173	1054	0,218343	1054	-0,192483	1054	-0,147695	1054	-0,0712776	1054	-0,0948884	1054	-0,247761	1054	-0,0506616	1054	0,043089	
1055	0,0510655	1055	-0,0768736	1055	0,0965861	1055	0,163524	1055	0,374457	1055	0,157173	1055	0,217926	1055	-0,196695	1055	-0,144867	1055	-0,0688997	1055	-0,0952179	1055	-0,247389	1055	-0,0427672	1055	0,0438506	
1056	0,0518372	1056	-0,0786787	1056	0,0919941	1056	0,162499	1056	0,374807	1056	0,151167	1056	0,21624	1056	-0,198883	1056	-0,143879	1056	-0,0659197	1056	-0,0891321	1056	-0,248517	1056	-0,0406693	1056	0,0426673	
1057	0,0496702	1057	-0,078957	1057	0,0905521	1057	0,163539	1057	0,376317	1057	0,150834	1057	0,219136	1057	-0,197029	1057	-0,142283	1057	-0,0631687	1057	-0,0828518	1057	-0,251839	1057	-0,0391886	1057	0,040364	
1058	0,0522164	1058	-0,0817	1058	0,0885532	1058	0,165273	1058	0,381049	1058	0,148566	1058	0,220676	1058	-0,195988	1058	-0,1397	1058	-0,0643748	1058	-0,0818455	1058	-0,249205	1058	-0,03605	1058	0,0411624	
1059	0,0531374	1059	-0,078043	1059	0,087001	1059	0,16619	1059	0,385343	1059	0,143666	1059	0,223196	1059	-0,198726	1059	-0,140033	1059	-0,0659047	1059	-0,0800769	1059	-0,245626	1059	-0,0354584	1059	0,0409064	
1060	0,0558897	1060	-0,0759554	1060	0,080589	1060	0,165461	1060	0,387264	1060	0,13682	1060	0,224469	1060	-0,198186	1060	-0,140994	1060	-0,0680134	1060	-0,0741593	1060	-0,24591	1060	-0,0285202	1060	0,0376833	
1061	0,0556408	1061	-0,0732492	1061	0,0807249	1061	0,165004	1061	0,384842	1061	0,13541	1061	0,225503	1061	-0,193188	1061	-0,141923	1061	-0,0692676	1061	-0,071414	1061	-0,24886	1061	-0,0304955	1061	0,0358687	
1062	0,0553869	1062	-0,0768593	1062	0,080828	1062	0,165394	1062	0,386445	1062	0,132978	1062	0,224238	1062	-0,188802	1062	-0,142641	1062	-0,0697928	1062	-0,0678716	1062	-0,25152	1062	-0,032401	1062	0,0378418	
1063	0,0526992	1063	-0,078014	1063	0,0817313	1063	0,16901	1063	0,386641	1063	0,131873	1063	0,222237	1063	-0,184186	1063	-0,142549	1063	-0,0672694	1063	-0,0668476	1063	-0,250011	1063	-0,0333929	1063	0,0369718	
1064	0,0545323	1064	-0,0796812	1064	0,0863004	1064	0,166311	1064	0,386234	1064	0,128989	1064	0,219177	1064	-0,180768	1064	-0,143307	1064	-0,0635396	1064	-0,063573	1064	-0,243775	1064	-0,0359017	1064	0,0433575	
1065	0,0558527	1065	-0,0767132	1065	0,0928071	1065	0,165845	1065	0,386023	1065	0,124666	1065	0,220176	1065	-0,174756	1065	-0,14378	1065	-0,0585549	1065	-0,0635659	1065	-0,240953	1065	-0,0332214	1065	0,0492702	
1066	0,0539364	1066	-0,0760458	1066	0,0966717	1066	0,166306	1066	0,38548	1066	0,121255	1066	0,225611	1066	-0,175059	1066	-0,138776	1066	-0,0554731	1066	-0,059942	1066	-0,236324	1066	-0,0321097	1066	0,0492508	
1067	0,0512764	1067	-0,0744023	1067	0,0981986	1067	0,169186	1067	0,377508	1067	0,119742	1067	0,22674	1067	-0,178301	1067	-0,139115	1067	-0,0483813	1067	-0,0578856	1067	-0,234838	1067	-0,0308192	1067	0,0485258	
1068	0,049948	1068	-0,070019	1068	0,10188	1068	0,170347	1068	0,375037	1068	0,118178	1068	0,231185	1068	-0,175477	1068	-0,138154	1068	-0,0491313	1068	-0,0550298	1068	-0,235529	1068	-0,0305503	1068	0,0515226	
1069	0,0474882	1069	-0,0692797	1069	0,10382	1069	0,171133	1069	0,373634	1069	0,121795	1069	0,226635	1069	-0,167563	1069	-0,135884	1069	-0,0489108	1069	-0,0502369	1069	-0,235672	1069	-0,0255396	1069	0,05405	
1070	0,0479016	1070	-0,0706648	1070	0,106506	1070	0,17089	1070	0,371842	1070	0,122716	1070	0,222624	1070	-0,163029	1070	-0,135567	1070	-0,0485209	1070	-0,0443502	1070	-0,239274	1070	-0,0233107	1070	0,0531347	
1071	0,0462796	1071	-0,0726122	1071	0,110226	1071	0,170903	1071	0,371525	1071	0,12205	1071	0,220956	1071	-0,157837	1071	-0,138555	1071	-0,0500139	1071	-0,0392591	1071	-0,24041	1071	-0,0199467	1071	0,0529071	
1072	0,0450535	1072	-0,0716818	1072	0,109836	1072	0,173214	1072	0,366684	1072	0,120872	1072	0,219231	1072	-0,155253	1072	-0,13977	1072	-0,0473105	1072	-0,0320959	1072	-0,244041	1072	-0,0196473	1072	0,0579358	
1073	0,0475604	1073	-0,0719959	1073	0,111536	1073	0,178208	1073	0,363075	1073	0,121205	1073	0,218546	1073	-0,153935	1073	-0,141374	1073	-0,0470009	1073	-0,0308685	1073	-0,247757	1073	-0,0188594	1073	0,0585041	
1074	0,0441933	1074	-0,0698741	1074	0,113049	1074	0,187999	1074	0,362605	1074	0,120832	1074	0,21681	1074	-0,152359	1074	-0,140859	1074	-0,051281	1074	-0,0293181	1074	-0,250909	1074	-0,0213559	1074	0,0559789	
1075	0,0417977	1075	-0,0694481	1075	0,11072	1075	0,187771	1075	0,363635	1075	0,117113	1075	0,214945	1075	-0,151829	1075	-0,141903	1075	-0,0455218	1075	-0,0274794	1075	-0,255241	1075	-0,0235051	1075	0,0548484	
1076	0,0439883	1076	-0,0723439	1076	0,109779	1076	0,186115	1076	0,36117	1076	0,11783	1076	0,214818	1076	-0,153406	1076	-0,143501	1076	-0,0463081	1076	-0,0234073	1076	-0,253103	1076	-0,0248709	1076	0,0535009	
1077	0,0486689	1077	-0,0660255	1077	0,110667	1077	0,188855	1077	0,354198	1077	0,119994	1077	0,207896	1077	-0,154901	1077	-0,143282	1077	-0,0471847	1077	-0,0178717	1077	-0,253046	1077	-0,0266377	1077	0,050993	
1078	0,0529336	1078	-0,0655118	1078	0,104999	1078	0,194439	1078	0,349035	1078	0,119709	1078	0,20565	1078	-0,159434	1078	-0,139779	1078	-0,0471247	1078	-0,0142537	1078	-0,255364	1078	-0,0303073	1078	0,0521906	
1079	0,054691	1079	-0,0668604	1079	0,104687	1079	0,19525	1079	0,34485	1079	0,115501	1079	0,204462	1079	-0,158389	1079	-0,140515	1079	-0,0424655	1079	-0,00637642	1079	-0,254399	1079	-0,0284829	1079	0,0508589	
1080	0,0559974	1080	-0,0653339	1080	0,103902	1080	0,199369	1080	0,345132	1080	0,112219	1080	0,199823	1080	-0,153263	1080	-0,140155	1080	-0,0417161	1080	-0,00351879	1080	-0,253141	1080	-0,0296754	1080	0,0498356	
1081	0,0567634	1081	-0,0629941	1081	0,0995518	1081	0,194828	1081	0,340777	1081	0,111088	1081	0,196851	1081	-0,153156	1081	-0,140524	1081	-0,0439356	1081	-0,00235429	1081	-0,248793	1081	-0,0329386	1081	0,0493653	
1082	0,0618328	1082	-0,0630135	1082	0,0976036	1082	0,196333	1082	0,340741	1082	0,105939	1082	0,194387	1082	-0,154501	1082	-0,144251	1082	-0,0425533	1082	0,000648471	1082	-0,246528	1082	-0,0329923	1082	0,0490133	
1083	0,0648118	1083	-0,0654896	1083	0,0954838	1083	0,197874	1083	0,342055	1083	0,0992465	1083	0,192044	1083	-0,160029	1083	-0,143199	1083	-0,0420403	1083	0,00732437	1083	-0,24021	1083	-0,0391768	1083	0,0447788	
1084	0,0683431	1084	-0,0658698	1084	0,090804	1084	0,199507	1084	0,342164	1084	0,0959786	1084	0,191612	1084	-0,160833	1084	-0,149171	1084	-0,0346241	1084	0,0100316	1084	-0,234968	1084	-0,0408888	1084	0,0432518	
1085	0,0687615	1085	-0,0685274	1085	0,0865104	1085	0,200859	1085	0,342965	1085	0,0947714	1085	0,187289	1085	-0,163463	1085	-0,145815	1085	-0,0330503	1085	0,00843327	1085	-0,226524	1085	-0,0395484	1085	0,0378416	
1086	0,0719504	1086	-0,0703708	1086	0,0855454	1086	0,202666	1086	0,34442	1086	0,0929258	1086	0,186843	1086	-0,16337	1086	-0,140889	1086	-0,0332156	1086	0,0118838	1086	-0,220926	1086	-0,0386318	1086	0,0370778	
1087	0,0727112	1087	-0,07108	1087	0,0844707	1087	0,200401	1087	0,342676	1087	0,0921825	1087	0,186815	1087	-0,16441	1087	-0,14238	1087	-0,0344116	1087	0,0113017	1087	-0,220738	1087	-0,0432734	1087	0,0408481	
1088	0,0743553	1088	-0,0681062	1088	0,078142	1088	0,197908	1088	0,344037	1088	0,0896852	1088	0,18982	1088	-0,164327	1088	-0,139526	1088	-0,0372067	1088	0,00532443	1088	-0,218172	1088	-0,0388673	1088	0,0416008	
1089	0,0771842	1089	-0,0639417	1089	0,0784145	1089	0,19049	1089	0,345449	1089	0,0868482	1089	0,193304	1089	-0,166107	1089	-0,138991	1089	-0,0398218	1089	0,0034082	1089	-0,21323	1089	-0,0396368	1089	0,0420243	
1090	0,0800654	1090	-0,0630502	1090	0,0787041	1090	0,189193	1090	0,348472	1090	0,0878613	1090	0,192568	1090	-0,171668	1090	-0,138529	1090	-0,0367151	1090	0,00228147	1090	-0,21608	1090	-0,0394567	1090	0,0465714	
1091	0,0807749	1091	-0,062712	1091	0,075209	1091	0,185868	1091	0,348338	1091	0,086513	1091	0,190133	1091	-0,178259	1091	-0,137458	1091	-0,0344641	1091	-0,000443406	1091	-0,214499	1091	-0,0427464	1091	0,0494448	
1092	0,0844813	1092	-0,0646235	1092	0,0699692	1092	0,185636	1092	0,35134	1092	0,0881988	1092	0,189559	1092	-0,173252	1092	-0,135705	1092	-0,0323775	1092	-0,0085883	1092	-0,21457	1092	-0,0485895	1092	0,0526157	
1093	0,0804019	1093	-0,0687955	1093	0,0668295	1093	0,1839	1093	0,347011	1093	0,0886723	1093	0,186967	1093	-0,17461	1093	-0,134301	1093	-0,0280502	1093	-0,0113747	1093	-0,212301	1093	-0,0510291	1093	0,0492756	
1094	0,0843815	1094	-0,0700184	1094	0,0685364	1094	0,187961	1094	0,348026	1094	0,090692	1094	0,18962	1094	-0,173334	1094	-0,131639	1094	-0,0226765	1094	-0,0160259	1094	-0,207386	1094	-0,0498774	1094	0,0489137	
1095	0,0851405	1095	-0,0695461	1095	0,0703958	1095	0,187968	1095	0,346969	1095	0,0873801	1095	0,191072	1095	-0,173775	1095	-0,128326	1095	-0,0243352	1095	-0,0226977	1095	-0,204468	1095	-0,0480923	1095	0,0482338	
1096	0,0926433	1096	-0,0680462	1096	0,0669488	1096	0,184684	1096	0,345438	1096	0,0880944	1096	0,188272	1096	-0,171736	1096	-0,129197	1096	-0,0288295	1096	-0,0216792	1096	-0,205354	1096	-0,0511125	1096	0,0484729	
1097	0,0954794	1097	-0,0633604	1097	0,0676191	1097	0,186868	1097	0,343834	1097	0,0875622	1097	0,187069	1097	-0,172745	1097	-0,126796	1097	-0,031545	1097	-0,0239622	1097	-0,205542	1097	-0,0497166	1097	0,0487614	
1098	0,0984668	1098	-0,0598474	1098	0,064048	1098	0,185841	1098	0,343372	1098	0,086636	1098	0,184126	1098	-0,178703	1098	-0,128265	1098	-0,0348929	1098	-0,0250004	1098	-0,209121	1098	-0,0484065	1098	0,0471321	
1099	0,103604	1099	-0,0535438	1099	0,0596197	1099	0,191298	1099	0,338926	1099	0,0828565	1099	0,180681	1099	-0,175474	1099	-0,127642	1099	-0,0362639	1099	-0,0228476	1099	-0,213171	1099	-0,0473702	1099	0,0447983	
1100	0,111525	1100	-0,0516839	1100	0,0579705	1100	0,191884	1100	0,331369	1100	0,0831953	1100	0,177167	1100	-0,175022	1100	-0,125673	1100	-0,0398258	1100	-0,0250821	1100	-0,214907	1100	-0,0430792	1100	0,0465196	
1101	0,11151	1101	-0,0469055	1101	0,0572772	1101	0,196193	1101	0,325292	1101	0,0826283	1101	0,174088	1101	-0,174302	1101	-0,122032	1101	-0,0389049	1101	-0,0278566	1101	-0,213872	1101	-0,0468074	1101	0,0508942	
1102	0,119924	1102	-0,0415369	1102	0,0541668	1102	0,197516	1102	0,321732	1102	0,0817148	1102	0,173406	1102	-0,175156	1102	-0,121295	1102	-0,0394679	1102	-0,0271878	1102	-0,212088	1102	-0,0419372	1102	0,0517736	
1103	0,125086	1103	-0,0369799	1103	0,049509	1103	0,198209	1103	0,318582	1103	0,0778774	1103	0,176983	1103	-0,177914	1103	-0,118256	1103	-0,0405568	1103	-0,0270144	1103	-0,208021	1103	-0,0389873	1103	0,0526764	
1104	0,130074	1104	-0,0372033	1104	0,0458084	1104	0,195659	1104	0,318235	1104	0,0728443	1104	0,178191	1104	-0,180411	1104	-0,114309	1104	-0,0419181	1104	-0,0230265	1104	-0,207642	1104	-0,0383354	1104	0,0512739	
